SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,DISABSEE_N_T,DISABSEE_YSOME_T,DISABSEE_YLOT_T,DISABSEE_YALL_T,DISABSEE_Y_T,DISABSEE_TOT_T,DISABSEER_T,DISABSEE_N_F,DISABSEE_YSOME_F,DISABSEE_YLOT_F,DISABSEE_YALL_F,DISABSEE_Y_F,DISABSEE_TOT_F,DISABSEER_F,DISABSEE_N_M,DISABSEE_YSOME_M,DISABSEE_YLOT_M,DISABSEE_YALL_M,DISABSEE_Y_M,DISABSEE_TOT_M,DISABSEER_M,DISABSEE_N_U,DISABSEE_YSOME_U,DISABSEE_YLOT_U,DISABSEE_YALL_U,DISABSEE_Y_U,DISABSEE_TOT_U,DISABSEER_U,DISABSEE_N_R,DISABSEE_YSOME_R,DISABSEE_YLOT_R,DISABSEE_YALL_R,DISABSEE_Y_R,DISABSEE_TOT_R,DISABSEER_R,DISABSEER_N_FU,DISABSEE_YSOME_FU,DISABSEE_YLOT_FU,DISABSEE_YALL_FU,DISABSEE_Y_FU,DISABSEE_TOT_FU,DISABSEER_FU,DISABSEE_N_MU,DISABSEE_YSOME_MU,DISABSEE_YLOT_MU,DISABSEE_YALL_MU,DISABSEE_Y_MU,DISABSEE_TOT_MU,DISABSEER_MU,DISABSEE_N_FR,DISABSEE_YSOME_FR,DISABSEE_YLOT_FR,DISABSEE_YALL_FR,DISABSEE_Y_FR,DISABSEE_TOT_FR,DISABSEER_FR,DISABSEE_N_MR,DISABSEE_YSOME_MR,DISABSEE_YLOT_MR,DISABSEE_YALL_MR,DISABSEE_Y_MR,DISABSEE_TOT_MR,DISABSEER_MR
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010010,Singu,စဉ့်ကူး,154229,2830,331,195,3356,157585,2.1296443189389853,78915,1603,182,111,1896,80811,2.3462152429743477,75314,1227,149,84,1460,76774,1.9016854664339489,7160,202,21,10,233,7393,3.151629920194779,147069,2628,310,185,3123,150192,2.0793384467881113,3706,122,14,5,141,3847,3.6651936573953727,3454,80,7,5,92,3546,2.5944726452340667,75209,1481,168,106,1755,76964,2.280286887375916,71860,1147,142,79,1368,73228,1.8681378707598186
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010011,Mogoke,မိုးကုတ်,164339,2551,166,93,2810,167149,1.6811347959006635,80741,1387,77,52,1516,82257,1.8430042428000049,83598,1164,89,41,1294,84892,1.5242896857183246,76504,1019,54,32,1105,77609,1.42380394026466,87835,1532,112,61,1705,89540,1.9041769041769043,39324,576,30,15,621,39945,1.554637626736763,37180,443,24,17,484,37664,1.2850467289719625,41417,811,47,37,895,42312,2.1152391756475706,46418,721,65,24,810,47228,1.7150842720420092
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010012,Thabeikkyin,သပိတ်ကျဉ်း,162641,862,105,94,1061,163702,0.6481289171787761,79880,477,50,67,594,80474,0.7381265998956185,82761,385,55,27,467,83228,0.5611092420819916,13674,79,3,9,91,13765,0.6610969851071559,148967,783,102,85,970,149937,0.646938380786597,6952,47,2,6,55,7007,0.7849293563579277,6722,32,1,3,36,6758,0.5327019828351583,72928,430,48,61,539,73467,0.733662732927709,76039,353,54,24,431,76470,0.5636197201516935
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010013,Kyaukse,ကျောက်ဆည်,254931,2546,216,214,2976,257907,1.1539043143458687,131635,1479,132,122,1733,133368,1.2994121528402616,123296,1067,84,92,1243,124539,0.998080922441966,41323,120,13,26,159,41482,0.383298780193819,213608,2426,203,188,2817,216425,1.301605637056717,21626,63,8,10,81,21707,0.3731515179435205,19697,57,5,16,78,19775,0.3944374209860936,110009,1416,124,112,1652,111661,1.479478063065887,103599,1010,79,76,1165,104764,1.112023214081173
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010014,Sintgaing,စဉ့်ကိုင်,146741,1925,109,143,2177,148918,1.4618783491585974,76437,1161,64,95,1320,77757,1.6975963578841777,70304,764,45,48,857,71161,1.2043113503182923,8168,110,5,7,122,8290,1.4716525934861278,138573,1815,104,136,2055,140628,1.461302158887277,4436,72,2,6,80,4516,1.771479185119575,3732,38,3,1,42,3774,1.1128775834658187,72001,1089,62,89,1240,73241,1.6930407831678977,66572,726,42,47,815,67387,1.2094320863074481
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010015,Myittha,မြစ်သား,192399,2700,285,245,3230,195629,1.6510844506693791,101082,1555,171,149,1875,102957,1.8211486348669832,91317,1145,114,96,1355,92672,1.4621460635359116,19171,146,8,17,171,19342,0.8840864440078585,173228,2554,277,228,3059,176287,1.7352385598484292,10154,91,4,12,107,10261,1.0427833544488843,9017,55,4,5,64,9081,0.7047681973350953,90928,1464,167,137,1768,92696,1.9073099162854923,82300,1090,110,91,1291,83591,1.544424639016162
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010016,Tada-U,တံတားဦး,136540,1655,186,236,2077,138617,1.4983732154064797,72614,969,120,160,1249,73863,1.6909684144971096,63926,686,66,76,828,64754,1.2786854866108657,12287,86,8,8,102,12389,0.8233110016950521,124253,1569,178,228,1975,126228,1.5646290838799635,6524,54,6,5,65,6589,0.9864926392472303,5763,32,2,3,37,5800,0.6379310344827587,66090,915,114,155,1184,67274,1.7599667033326396,58163,654,64,73,791,58954,1.3417240560436952
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010017,Myingyan,မြင်းခြံ,264294,10497,838,467,11802,276096,4.274600139082058,145037,6137,507,315,6959,151996,4.578409958156794,119257,4360,331,152,4843,124100,3.9024979854955686,81965,5402,231,110,5743,87708,6.547863364801386,182329,5095,607,357,6059,188388,3.2162345796972205,44351,3107,159,75,3341,47692,7.0053677765663,37614,2295,72,35,2402,40016,6.002598960415834,100686,3030,348,240,3618,104304,3.4687068568798898,81643,2065,259,117,2441,84084,2.9030493316207604
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010018,Taungtha,တောင်သာ,211711,4134,485,312,4931,216642,2.276105279677994,116546,2463,282,190,2935,119481,2.456457512073049,95165,1671,203,122,1996,97161,2.0543222074700758,17389,117,9,13,139,17528,0.7930168872660885,194322,4017,476,299,4792,199114,2.4066615104914773,9338,70,5,8,83,9421,0.8810105084385946,8051,47,4,5,56,8107,0.6907610706796596,107208,2393,277,182,2852,110060,2.591313828820643,87114,1624,199,117,1940,89054,2.1784535225818042
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010019,Natogyi,နွားထိုးကြီး,172561,3569,579,369,4517,177078,2.550853296287512,93439,2221,344,226,2791,96230,2.9003429284007067,79122,1348,235,143,1726,80848,2.1348703740352266,12741,47,9,21,77,12818,0.6007177406771728,159820,3522,570,348,4440,164260,2.7030317788871305,6797,25,7,14,46,6843,0.6722197866432851,5944,22,2,7,31,5975,0.5188284518828452,86642,2196,337,212,2745,89387,3.0709163524897356,73178,1326,233,136,1695,74873,2.263833424598988
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010020,Kyaukpadaung,ကျောက်ပန်းတောင်း,260016,1437,232,223,1892,261908,0.7223910686195153,144125,863,149,146,1158,145283,0.7970650385798752,115891,574,83,77,734,116625,0.6293676312968917,42703,90,8,16,114,42817,0.2662493869257538,217313,1347,224,207,1778,219091,0.8115349329730568,22801,57,8,12,77,22878,0.33656788180785036,19902,33,0,4,37,19939,0.18556597622749388,121324,806,141,134,1081,122405,0.8831338589109922,95989,541,83,73,697,96686,0.7208903046976811
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010021,Ngazun,ငါန်းဇွန်,119605,3887,408,333,4628,124233,3.7252581842183643,64772,2295,271,226,2792,67564,4.132378189568409,54833,1592,137,107,1836,56669,3.2398665937284936,6942,113,7,18,138,7080,1.9491525423728815,112663,3774,401,315,4490,117153,3.832594982629553,3735,78,4,15,97,3832,2.531315240083507,3207,35,3,3,41,3248,1.2623152709359606,61037,2217,267,211,2695,63732,4.228644950731187,51626,1557,134,104,1795,53421,3.3601018326126426
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010022,Nyaung-U,ညောင်ဦး,233688,5304,551,404,6259,239947,2.608492708806528,126660,3210,346,255,3811,130471,2.920955614657663,107028,2094,205,149,2448,109476,2.236106543900033,53339,856,59,89,1004,54343,1.8475240601365401,180349,4448,492,315,5255,185604,2.8312967392944115,27881,526,36,60,622,28503,2.1822264323053715,25458,330,23,29,382,25840,1.478328173374613,98779,2684,310,195,3189,101968,3.127451749568492,81570,1764,182,120,2066,83636,2.4702281314266585
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010023,Yamethin,ရမည်းသင်း,250140,6937,672,342,7951,258091,3.0806963435377446,128172,3958,379,214,4551,132723,3.4289460003164485,121968,2979,293,128,3400,125368,2.712015825409993,27391,252,32,23,307,27698,1.108383276770886,222749,6685,640,319,7644,230393,3.317809134826145,13823,157,14,15,186,14009,1.3277178956385183,13568,95,18,8,121,13689,0.8839213967419095,114349,3801,365,199,4365,118714,3.676904156207356,108400,2884,275,120,3279,111679,2.936093625480171
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010024,Pyawbwe,ပျော်ဘွယ်,256046,3579,368,300,4247,260293,1.6316228250471583,138520,2103,229,206,2538,141058,1.7992598789150562,117526,1476,139,94,1709,119235,1.43330397953621,31736,396,46,36,478,32214,1.483826907555721,224310,3183,322,264,3769,228079,1.6524975995159574,17178,243,28,24,295,17473,1.6883191209294341,14558,153,18,12,183,14741,1.241435452140289,121342,1860,201,182,2243,123585,1.8149451794311606,102968,1323,121,82,1526,104494,1.4603709303883476
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010028,Meiktila,မိတ္ထီလာ,305478,3476,357,352,4185,309663,1.3514691777835905,164376,2084,199,217,2500,166876,1.4981183633356505,141102,1392,158,135,1685,142787,1.1800794189947263,109784,1508,133,97,1738,111522,1.5584369003425333,195694,1968,224,255,2447,198141,1.2349791310228575,59432,898,70,55,1023,60455,1.692167728062195,50352,610,63,42,715,51067,1.4001214091291834,104944,1186,129,162,1477,106421,1.387883970269026,90750,782,95,93,970,91720,1.0575665067597033
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010029,Mahlaing,မလှိုင်,136591,2343,287,206,2836,139427,2.034039318066085,74114,1423,172,137,1732,75846,2.2835746117132083,62477,920,115,69,1104,63581,1.7363677828282034,13503,310,21,16,347,13850,2.5054151624548737,123088,2033,266,190,2489,125577,1.9820508532613457,7300,194,13,12,219,7519,2.912621359223301,6203,116,8,4,128,6331,2.0217975043437053,66814,1229,159,125,1513,68327,2.2143515740483264,56274,804,107,65,976,57250,1.7048034934497815
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010030,Thazi,သာစည်,199616,2494,317,253,3064,202680,1.5117426485099665,105478,1395,186,158,1739,107217,1.6219442812240594,94138,1099,131,95,1325,95463,1.3879723034055078,20272,232,34,23,289,20561,1.405573658868732,179344,2262,283,230,2775,182119,1.5237289903854074,11099,141,25,9,175,11274,1.5522441014724144,9173,91,9,14,114,9287,1.2275223430601918,94379,1254,161,149,1564,95943,1.6301345590611094,84965,1008,122,81,1211,86176,1.4052636464909023
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010031,Wundwin,ဝမ်းတွင်း,226157,2978,270,355,3603,229760,1.568158077994429,121443,1724,160,219,2103,123546,1.7021999902870184,104714,1254,110,136,1500,106214,1.4122432071101738,31858,598,36,66,700,32558,2.1500092143252045,194299,2380,234,289,2903,197202,1.4720946035030071,17484,357,25,36,418,17902,2.3349346441738352,14374,241,11,30,282,14656,1.9241266375545851,103959,1367,135,183,1685,105644,1.594979364658665,90340,1013,99,106,1218,91558,1.330304287992311
MMR011,Mon,မွန်ပြည်နယ်,MMR011001,Mawlamyine,မော်လမြိုင်,284288,4511,354,235,5100,289388,1.762339834409167,147222,2793,215,132,3140,150362,2.0882935848153124,137066,1718,139,103,1960,139026,1.4098082373081295,249200,4053,293,188,4534,253734,1.7869107017585346,35088,458,61,47,566,35654,1.5874796656756605,128863,2528,182,109,2819,131682,2.1407633541410367,120337,1525,111,79,1715,122052,1.4051387933012158,18359,265,33,23,321,18680,1.7184154175588866,16729,193,28,24,245,16974,1.443383999057382
MMR011,Mon,မွန်ပြည်နယ်,MMR011002,Kyaikmaraw,ကျိုက္မရော,189869,5280,454,207,5941,195810,3.0340636331137327,99585,3092,272,115,3479,103064,3.375572459830785,90284,2188,182,92,2462,92746,2.6545619218079484,10713,284,15,9,308,11021,2.794664730968152,179156,4996,439,198,5633,184789,3.0483416220662485,5890,179,10,6,195,6085,3.2046014790468362,4823,105,5,3,113,4936,2.2893030794165314,93695,2913,262,109,3284,96979,3.386300126831582,85461,2083,177,89,2349,87810,2.67509395285275
MMR011,Mon,မွန်ပြည်နယ်,MMR011003,Chaungzon,ချောင်းဆုံ,118134,3572,293,127,3992,122126,3.2687552200186696,64113,2187,160,70,2417,66530,3.632947542462047,54021,1385,133,57,1575,55596,2.832937621411612,7606,110,6,5,121,7727,1.5659376213278116,110528,3462,287,122,3871,114399,3.3837708371576674,4124,59,2,4,65,4189,1.55168297923132,3482,51,4,1,56,3538,1.582815149802148,59989,2128,158,66,2352,62341,3.772797998107184,50539,1334,129,56,1519,52058,2.917899266203081
