SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,DISWALK_N_T,DISWALK_YSOME_T,DISWALK_YLOT_T,DISWALK_YALL_T,DISWALK_Y_T,DISWALK_TOT_T,DISWALKR_T,DISWALK_N_F,DISWALK_YSOME_F,DISWALK_YLOT_F,DISWALK_YALL_F,DISWALK_Y_F,DISWALK_TOT_F,DISWALKR_F,DISWALK_N_M,DISWALK_YSOME_M,DISWALK_YLOT_M,DISWALK_YALL_M,DISWALK_Y_M,DISWALK_TOT_M,DISWALKR_M,DISWALK_N_U,DISWALK_YSOME_U,DISWALK_YLOT_U,DISWALK_YALL_U,DISWALK_Y_U,DISWALK_TOT_U,DISWALKR_U,DISWALK_N_R,DISWALK_YSOME_R,DISWALK_YLOT_R,DISWALK_YALL_R,DISWALK_Y_R,DISWALK_TOT_R,DISWALKR_R,DISWALK_N_FU,DISWALK_YSOME_FU,DISWALK_YLOT_FU,DISWALK_YALL_FU,DISWALK_Y_FU,DISWALK_TOT_FU,DISWALKR_FU,DISWALK_N_MU,DISWALK_YSOME_MU,DISWALK_YLOT_MU,DISWALK_YALL_MU,DISWALK_Y_MU,DISWALK_TOT_MU,DISWALKR_MU,DISWALK_N_FR,DISWALK_YSOME_FR,DISWALK_YLOT_FR,DISWALK_YALL_FR,DISWALK_Y_FR,DISWALK_TOT_FR,DISWALKR_FR,DISWALK_N_MR,DISWALK_YSOME_MR,DISWALK_YLOT_MR,DISWALK_YALL_MR,DISWALK_Y_MR,DISWALK_TOT_MR,DISWALKR_MR
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005032,Paungbyin,ဖေါင်းပြင်,111657,676,236,125,1037,112694,0.9201909595896853,58243,378,127,77,582,58825,0.9893752656183595,53414,298,109,48,455,53869,0.8446416306224358,9989,48,7,5,60,10049,0.5970743357548014,101668,628,229,120,977,102645,0.9518242486238979,5120,19,3,2,24,5144,0.46656298600311047,4869,29,4,3,36,4905,0.7339449541284404,53123,359,124,75,903,54584,1.6543309394694414,48545,269,105,45,419,48964,0.8557307409525365
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005033,Hkamti,ခန္တီး,46872,585,154,47,786,47658,1.6492509127533677,20333,322,68,19,409,20742,1.971844566579886,26539,263,86,28,377,26916,1.4006538861643631,11304,189,52,6,247,11551,2.138343000606008,35568,396,102,41,539,36107,1.492785332484006,5546,101,22,1,124,5670,2.18694885361552,5758,88,30,5,123,5881,2.091481040639347,14787,221,46,18,843,15915,5.29688972667295,20781,175,56,23,254,21035,1.2075112907059662
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005034,Homalin,ဟုမ္မလင်း,256083,1451,443,229,2123,258206,0.8222117224231815,123325,782,224,125,1131,124456,0.9087549013305907,132758,669,219,104,992,133750,0.7416822429906542,21054,94,42,30,166,21220,0.7822808671065032,235029,1357,401,199,1957,236986,0.8257871773016127,10188,40,22,12,74,10262,0.7211069966868057,10866,54,20,18,92,10958,0.8395692644643182,113137,742,202,113,1342,115536,1.1615427226145962,121892,615,199,86,900,122792,0.732946771776663
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005035,Lay Shi,လေရှီး,15928,306,60,28,394,16322,2.4139198627619165,8176,163,18,15,196,8372,2.341137123745819,7752,143,42,13,198,7950,2.490566037735849,4105,63,5,3,71,4176,1.700191570881226,11823,243,55,25,323,12146,2.659311707558044,2052,34,1,2,37,2089,1.7711823839157492,2053,29,4,1,34,2087,1.6291327264015332,6124,129,17,13,1268,7551,16.792477817507613,5699,114,38,12,164,5863,2.797202797202797
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005036,Lahe,လဟယ်,47691,613,186,36,835,48526,1.7207270329308002,23809,313,109,16,438,24247,1.8064090402936446,23882,300,77,20,397,24279,1.635157955434738,4102,26,0,1,27,4129,0.6539113586824897,43589,587,186,35,808,44397,1.81994278892718,1815,20,0,0,20,1835,1.08991825613079,2287,6,0,1,7,2294,0.3051438535309503,21994,293,109,16,575,22987,2.5014138426066905,21595,294,77,19,390,21985,1.773936775073914
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005037,Nanyun,နန်းယွန်း,51000,692,223,65,980,51980,1.8853405155829166,24788,348,127,34,509,25297,2.0120962960034787,26212,344,96,31,471,26683,1.7651688340891203,6008,109,17,9,135,6143,2.197623311085789,44992,583,206,56,845,45837,1.8434888845256014,2659,51,8,6,65,2724,2.3861967694566815,3349,58,9,3,70,3419,2.0473822755191575,22129,297,119,28,1145,23718,4.827557129606206,22863,286,87,28,401,23264,1.72369325997249
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006001,Dawei,ထားဝယ်,143580,2295,684,405,3384,146964,2.3026047195231483,74356,1339,384,232,1955,76311,2.5618849182948726,69224,956,300,173,1429,70653,2.022560966979463,81878,1039,313,229,1581,83459,1.894343330257971,61702,1256,371,176,1803,63505,2.8391465238957565,42781,607,165,138,910,43691,2.082808816461056,39097,432,148,91,671,39768,1.687286260309797,31575,732,219,94,3590,36210,9.914388290527478,30127,524,152,82,758,30885,2.454265824834062
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006002,Launglon,လောင်းလုံ,115645,1820,516,336,2672,118317,2.2583398835332202,61242,1042,279,196,1517,62759,2.4171831928488343,54403,778,237,140,1155,55558,2.0789085280247668,5146,152,18,18,188,5334,3.5245594300712413,110499,1668,498,318,2484,112983,2.198560845436924,2771,89,8,9,106,2877,3.6843934654153627,2375,63,10,9,82,2457,3.337403337403337,58471,953,271,187,2117,61999,3.4145712027613353,52028,715,227,131,1073,53101,2.020677576693471
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006003,Thayetchaung,သရက်ချောင်း,101327,3021,863,451,4335,105662,4.102704851318355,52771,1765,473,232,2470,55241,4.47131659455839,48556,1256,390,219,1865,50421,3.69885563554868,10825,381,69,30,480,11305,4.245908889871738,90502,2640,794,421,3855,94357,4.085547442161154,5390,218,37,18,273,5663,4.8207663782447465,5435,163,32,12,207,5642,3.6689117334278625,47381,1547,436,214,3608,53186,6.783740081976459,43121,1093,358,207,1658,44779,3.7026284642354677
MMR006,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MMR006004,Yebyu,ရေဖြူ,120067,1988,368,210,2566,122633,2.0924221049798994,58881,1022,172,117,1311,60192,2.178030303030303,61186,966,196,93,1255,62441,2.0098973430918785,7597,224,28,9,261,7858,3.321455841180962,112470,1764,340,201,2305,114775,2.0082770638205183,3764,129,13,4,146,3910,3.7340153452685425,3833,95,15,5,115,3948,2.912867274569402,55117,893,159,113,3701,59983,6.170081523098212,57353,871,181,88,1140,58493,1.9489511565486468
