SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,PHYSNB,PHYSR,NURSNB,NURSR,HSNB,HSR
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007010,Yedashe,ရေတာရှည်,203839,6,1:33973,24,1:8493,8,1:25479
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007011,Kyaukkyi,ကျောက်ကြီး,119202,5,1:23840,24,1:4967,5,1:23840
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007012,Phyu,ဖြူး,256985,25,1:10279,66,1:3893,8,1:32123
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007013,Oktwin,အုတ်တွင်း,170482,6,1:28413,14,1:12177,6,1:28413
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007014,Htantabin,ထန်းတပင်,121472,8,1:15184,21,1:5784,6,1:20245
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008001,Pyay,ပြည်,225600,116,1:1944,216,1:1044,6,1:37600
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008002,Paukkhaung,ပေါက်ခေါင်း,123600,7,1:17621,19,1:6492,7,1:17621
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008003,Padaung,ပန်းတောင်း,147123,6,1:24520,21,1:7005,4,1:36780
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008004,Paungde,ပေါင်းတည်,141045,6,1:23508,21,1:6716,6,1:23508
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008005,Thegon,သဲကုန်း,129971,8,1:16510,25,1:5743,4,1:26416
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008006,Shwedaung,ရွှေတောင်,130245,5,1:25918,21,1:4330,8,1:13565
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008007,Thayarwady,သာယာဝတီ,154606,27,1:5726,58,1:2665,10,1:15460
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008008,Letpadan,လက်ပံတန်း,190900,8,1:23862,23,1:8300,8,1:23862
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008009,Minhla,မင်းလှ,125324,5,1:25065,16,1:7833,7,1:16996
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008010,Okpho,အုတ်ဖို,131265,7,1:18752,24,1:5469,8,1:16408
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008011,Zigon,ဇီးကုန်း,71017,4,1:17750,16,1:4438,4,1:17750
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008012,Nattalin,နတ္တလင်း,173542,7,1:24792,29,1:5984,7,1:24792
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008013,Monyo,မိုးညို,136410,9,1:15157,27,1:5052,5,1:27282
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008014,Gyobingauk,ကြို့ပင်ကောက်,121788,9,1:13532,22,1:5535,5,1:24357
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009001,Magway,မကွေး,293489,73,1:4020,326,1:900,11,1:26680
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009002,Yenangyaung,ရေနံချောင်း,155016,9,1:17224,24,1:6459,8,1:19377
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009003,Chauk,ချောက်,212733,7,1:30390,24,1:8864,12,1:17728
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009004,Taungdwingyi,တောင်တွင်းကြီး,266275,9,1:29586,26,1:10241,9,1:29586
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009005,Myothit,မြို့သစ်,179544,12,1:14962,26,1:6905,8,1:22443
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009006,Natmauk,နတ်မောက်,236885,5,1:47377,21,1:11280,8,1:29610
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009007,Minbu,မင်းဘူး,180536,82,1:2202,289,1:625,12,1:15045
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009008,Pwintbyu,ပွင့်ဖြူ,177392,8,1:22174,27,1:6570,8,1:22174
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009009,Ngape,ငဖဲ,51806,6,1:8810,19,1:2782,4,1:13216
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009010,Salin,စလင်း,250250,14,1:2264,38,1:6585,8,1:31281
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009011,Sidoktaya,စေတုတ္တရာ,45297,5,1:9059,15,1:3019,3,1:13540
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009012,Thayet,သရက်,104580,23,1:4546,38,1:2752,5,1:209
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009013,Minhla,မင်းလှ,122903,6,1:20483,20,1:6145,8,1:15362
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009014,Mindon,မင်းတုန်း,62118,5,1:12423,21,1:2958,10,1:6211
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009015,Kamma,ကံမ,73473,6,1:12245,14,1:5248,4,1:18368
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009016,Aunglan,အောင်လံ,235935,11,1:24029,32,1:7281,9,1:24029
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009017,Sinbaungwe,ဆင်ပေါင်ဝဲ,117588,4,1:29397,unknown,unknown,99,1:1187
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009018,Pakokku,ပခုက္ကူ,318751,103,1:7713,203,1:1562,11,1:27848
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009019,Yesagyo,ရေစကြို,246608,24,1:10275,62,1:3978,13,1:18969
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009020,Myaing,မြိုင်,271726,9,1:30191,36,1:7545,11,1:24702
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009021,Pauk,ပေါက်,182785,7,1:26112,27,1:6770,9,1:20309
